x1,x2
6.111329769,4.112388508
6.53603321,2.847960364
4.138178171,1.904641454
5.717150836,4.210753163
3.491059417,2.750941093
5.647959985,1.090299597
6.049770538,1.961984983
4.794094199,3.023270541
3.703321708,1.964942441
6.298051083,1.853298911
4.335875728,2.83431956
5.009449579,4.370645492
6.531102976,1.194460192
6.144247755,4.15014151
4.595975525,2.031110273
6.860677733,4.144817571
4.295219795,4.440504641
3.057292853,3.882857466
3.445072576,3.700412511
3.015800506,3.444175754
4.962157878,4.496353476
3.545289116,3.632255622
6.105680204,2.343585894
3.187257013,2.419893531
7.716865454,10.47616205
6.372232715,10.86929081
7.159687357,13.42538992
6.540233242,11.2570839
6.364521761,12.72356197
7.426889239,9.986937702
7.81877247,9.888977653
7.280870187,10.39040957
7.04315823,9.324262866
7.148242139,10.39644615
6.341232056,14.91658635
6.234188027,12.60843303
7.649807884,14.0215405
6.432697537,14.08755022
7.852770908,14.17248222
7.145826959,12.21106973
7.992345366,9.178813813
6.617561346,10.48600571
6.419219215,12.43243732
6.325719411,14.20301163
6.531837831,14.85176719
7.836806387,12.29106659
7.297919583,10.520957
7.024597554,9.550219163
7.005245124,13.4785343
6.311366053,5.827215741
3.713991784,7.517837818
3.534103973,7.9394492
2.860018096,7.566262154
2.808418278,5.09743758
6.820827471,8.555830968
6.343094541,8.662439337
5.965772598,7.348086345
4.053854143,7.690596964
6.035510872,7.727557758
1.5744806,6.482001962
4.245612915,5.798014371
2.092002023,8.54739494
5.981914928,5.718135367
2.977728735,7.652520518
1.19024897,6.25755183
6.802017965,8.801061312
2.730499422,5.794106991
5.934458449,8.468219189
5.493841309,8.923754795
2.38301537,5.098990533
5.488121369,8.383316651
6.866336025,5.349236819
6.035719144,7.227809771
2.49072286,7.723786555
4.202898389,4.323471974
5.332713662,3.101839304
5.6669573,3.019613975
5.768508442,4.476896693
5.627054432,3.923342786
4.382389182,3.000719939
5.011721712,4.31901871
4.753245777,3.653605991
4.452731384,3.210612843
5.672264384,3.095523756
