x1,x2,y
1.151315689,-3.25670917,8.651852106
7.129717629,-135.5950917,35.86245028
5.152790842,-31.46791508,28.38159161
3.496140953,-41.4823414,17.78710627
4.532115337,-40.99053331,23.7585963
3.485903896,-53.22663473,17.50184323
2.423882857,-31.45085883,14.03253381
8.353816626,-170.5795312,42.30373748
3.308588816,-16.46579505,17.98219564
8.330736508,-306.6658004,41.9925061
7.974480273,-17.44084427,40.65548757
5.065718947,-17.4032905,26.27923858
5.573385177,-104.6138718,27.92616675
0.374710031,-0.016624186,3.766554508
2.632960311,-26.70218318,15.33714675
3.399004411,-26.45273147,19.93981286
4.585215393,-21.91117393,23.00363822
1.044794498,-7.652736969,8.067226491
0.104657906,-0.171755708,1.914184451
9.90907962,-34.73952792,51.6596724
6.128054875,-45.80409965,32.9716027
1.258598815,-5.129767854,6.773271599
0.961742863,-0.213946133,5.806745626
1.446557987,-7.243146171,8.303452616
0.240868531,-0.023700246,1.821310031
1.45036074,-1.317558679,8.6657683
0.536445778,-0.211255046,4.222489265
2.823752129,-43.66785143,17.08328102
4.452246141,-74.13947943,22.83936989
6.6888508,-218.344395,36.01317798
2.98454846,-42.07831121,16.66514212
8.879036767,-154.9422492,46.2456802
2.263729843,-14.86421414,12.35029827
4.46218246,-93.70691857,24.47910756
3.598051049,-1.599990506,19.6793776
6.985107092,-102.2009058,37.14892354
0.18175491,-0.162611765,0.96559099
2.093974106,-16.49754165,13.34916963
1.231274195,-3.653697001,8.697387891
7.696981025,-182.99825,41.00895893
7.19631057,-209.3762699,36.55800829
3.099078146,-24.53525617,16.27108462
7.600890597,-294.3774293,40.93652912
6.748825746,-99.73312947,36.38516627
9.491674006,-157.0842004,49.41066221
1.603817584,-3.93615789,8.054949091
9.953265031,-180.8122311,50.0771241
0.48645906,-0.699582218,3.745521855
3.197447706,-11.18776457,16.29482142
3.742603426,-41.13289062,21.60529903
8.805626595,-146.024895,46.09898984
3.598084644,-18.71749869,20.06343895
9.161375131,-133.6407713,47.87946031
1.183704033,-5.475934853,8.802016374
9.739491128,-211.0421229,49.37522567
7.305032804,-182.8026095,37.76054833
2.087673402,-19.97594353,11.9355395
6.974377828,-221.9472325,37.17311758
8.180725557,-258.4380178,42.9520335
0.858213553,-3.047154042,5.236634866
6.443653441,-150.9152888,34.88005703
3.560508431,-33.53766977,17.86035181
1.855579372,-6.928432298,11.79509031
8.218140189,-192.0474908,43.13909415
1.563416571,-2.136506578,10.10681405
9.716735579,-50.46302521,50.52554309
6.232263926,-95.98713253,32.22947409
8.249036453,-302.9866016,42.75315403
3.466205252,-33.91462973,18.98040773
7.084595271,-100.5202514,37.92120975
4.822379481,-78.38395612,24.26130886
9.470750515,-410.3359013,47.48982457
9.570068792,-20.05599424,48.19333132
5.548413848,-150.5229212,29.00119626
4.663573126,-80.11365952,24.69165899
4.930972356,-66.46673887,26.53387638
0.224345961,-0.254814695,3.921051661
4.215370921,-32.699513,23.0622566
7.208205671,-43.26700323,38.84380355
6.054383372,-139.6902289,32.34074793
0.956968338,-1.036036056,5.277321434
2.202487544,-25.31130629,12.02076987
0.825074868,-0.252950397,4.763927216
2.848353924,-32.44999746,14.78165173
5.726414556,-57.95188882,30.93112777
3.863401141,-63.26158769,20.8040279
1.519004412,-7.018956483,9.645788901
5.685142368,-64.21841521,28.56429915
6.464008937,-195.7135358,33.94010527
0.312794671,-0.500487346,3.320082148
4.431768574,-51.1070804,22.59849101
5.946497074,-5.167625923,30.08569381
1.990057754,-9.884877309,12.18692814
5.341100829,-80.68772171,29.39974394
1.37405996,-6.712931646,7.685733652
4.355199081,-102.8323909,24.00456293
2.161789631,-7.646724055,13.25774453
9.066739442,-38.08995443,45.66134321
0.709441701,-1.594833753,3.932875861
